eval_index,parego_hv,parego_plot_band,parego_lower,parego_upper,llambo_mo_hv,llambo_mo_plot_band,llambo_mo_lower,llambo_mo_upper,nsga2_mean_hv,nsga2_std_hv,nsga2_lower,nsga2_upper,disk_mean_hv,disk_std_hv,disk_lower,disk_upper,pimd_mean_hv,pimd_std_hv,pimd_lower,pimd_upper
34,0.32380912805963563,0.00448403510058656,0.3193250929590491,0.32829316316022217,0.37775846385927764,0.002087792142394885,0.37567067171688273,0.37984625600167254,0.312371907089882,0.025737921774396714,0.2866339853154853,0.3381098288642787,0.30096574913105456,0.025596789942522388,0.27536895918853216,0.32656253907357696,0.2895237158404048,0.02463653990740245,0.2648871759330024,0.31416025574780726
35,0.3239569192090442,0.00448403510058656,0.31947288410845764,0.3284409543096307,0.3779686729139592,0.002085462607283001,0.3758832103066762,0.3800541355212422,0.31295178444347665,0.025788372822660444,0.2871634116208162,0.3387401572661371,0.30098715838255585,0.025567305835294055,0.2754198525472618,0.3265544642178499,0.2896110912346856,0.0247219186684413,0.2648891725662443,0.3143330099031269
36,0.32543572537623405,0.00448403510058656,0.3209516902756475,0.3299197604768206,0.3779686729139592,0.0019255972659348731,0.3760430756480243,0.3798942701798941,0.3175493514347652,0.024178529630967126,0.2933708218037981,0.3417278810657323,0.3012727741295476,0.02589258040695282,0.2753801937225948,0.3271653545365004,0.28991544101775735,0.024847393950890116,0.2650680470668672,0.3147628349686475
37,0.3255480407786221,0.00448403510058656,0.32106400567803556,0.33003207587920863,0.3779686729139592,0.0019458287552449518,0.37602284415871423,0.37991450166920415,0.31788794208613197,0.02429087754616856,0.2935970645399634,0.3421788196323005,0.3015260759276795,0.026037338872320268,0.2754887370553592,0.3275634147999998,0.28998307514513133,0.024880608155498685,0.26510246698963263,0.31486368330063
38,0.32613512774612474,0.00448403510058656,0.3216510926455382,0.3306191628467113,0.37798793160154764,0.0017364945782497134,0.37625143702329794,0.37972442617979735,0.3184500369283854,0.023839924068931352,0.29461011285945404,0.3422899609973168,0.30651500344517535,0.02501299454418137,0.28150200890099397,0.3315279979893567,0.29035049175212635,0.024754885190474783,0.26559560656165154,0.31510537694260116
39,0.328354818859256,0.00448403510058656,0.32387078375866946,0.33283885395984253,0.37798793160154764,0.0014974454109252986,0.37649048619062236,0.3794853770124729,0.31852129645514066,0.023812429135248867,0.29470886731989177,0.34233372559038955,0.30670475259739927,0.025081542491075366,0.2816232101063239,0.3317862950884746,0.2905519869149715,0.02476801764920977,0.26578396926576175,0.3153200045641813
40,0.3286053633010998,0.00448403510058656,0.32412132820051326,0.33308939840168633,0.37799083947097123,0.0016219864073909536,0.37636885306358026,0.3796128258783622,0.3185447404948434,0.023818172278726544,0.2947265682161168,0.34236291277356995,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
41,0.3298949244312551,0.00448403510058656,0.3254108893306686,0.33437895953184166,0.37799083947097123,0.0012202664010990017,0.3767705730698722,0.37921110587207024,0.31857066787089877,0.023802704321133832,0.2947679635497649,0.3423733721920326,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
42,0.3301341983331245,0.00448403510058656,0.325650163232538,0.33461823343371105,0.37808161113915273,0.0012202664010990017,0.3768613447380537,0.37930187754025174,0.31919113330831717,0.02308987394558732,0.29610125936272985,0.3422810072539045,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
43,0.3302611711432462,0.004740011833458462,0.32552115930978776,0.33500118297670467,0.37808532183935883,0.0012202664010990017,0.3768650554382598,0.37930558824045785,0.3196018747679893,0.02310824571103106,0.29649362905695825,0.34271012047902033,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
44,0.3302657104119901,0.00475766227692237,0.32550804813506773,0.33502337268891247,0.37808532183935883,0.0012202664010990017,0.3768650554382598,0.37930558824045785,0.3225060055276138,0.02386066381613371,0.2986453417114801,0.34636666934374755,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
45,0.33037380908209063,0.004518212690691282,0.3258555963913993,0.33489202177278193,0.37808532183935883,0.001266702286718859,0.37681861955263996,0.3793520241260777,0.32494344202041414,0.02130658954151225,0.3036368524789019,0.3462500315619264,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
46,0.330377323567593,0.0045447516029828725,0.3258325719646101,0.3349220751705759,0.37808532183935883,0.0012464446869840558,0.3768388771523748,0.3793317665263429,0.3252404907164118,0.02154157671897952,0.3036989139974323,0.3467820674353913,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045,0.29084051883934103,0.024618466447883524,0.2662220523914575,0.31545898528722455
47,0.3304755371660995,0.0045485264604904615,0.32592701070560903,0.33502406362659,0.378177900702542,0.0012472090202703386,0.37693069168227167,0.3794251097228123,0.32552398692947965,0.02172716420683656,0.3037968227226431,0.3472511511363162,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045,0.29093255184483935,0.02461343920033294,0.2663191126445064,0.3155459910451723
48,0.3322799189828971,0.00448403510058656,0.32779588388231057,0.33676395408348364,0.378177900702542,0.001250523465924908,0.37692737723661707,0.3794284241684669,0.32589929626668085,0.021881937949318916,0.30401735831736193,0.34778123421599977,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045,0.29105434417234244,0.024576812253634478,0.26647753191870793,0.31563115642597694
49,0.3324127057311285,0.006636136488929911,0.3257765692421986,0.33904884222005843,0.3782234568848038,0.0012202664010990017,0.3770031904837048,0.3794437232859028,0.32594232038637455,0.021838208254429045,0.3041041121319455,0.3477805286408036,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045,0.29107818760742193,0.024567429288245422,0.26651075831917653,0.31564561689566734
50,0.33338018852511414,0.006620131650761802,0.32676005687435233,0.34000032017587595,0.3782235854965766,0.0012202664010990017,0.3770033190954776,0.3794438518976756,0.325957033336184,0.021824247708287607,0.30413278562789636,0.3477812810444716,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045,0.29128690547023905,0.024641925816044886,0.26664497965419415,0.31592883128628396
51,0.33457889494447357,0.008043740062000482,0.3265351548824731,0.34262263500647405,0.3782235854965766,0.0012202664010990017,0.3770033190954776,0.3794438518976756,0.3260509223689888,0.02172188963615026,0.30432903273283857,0.34777281200513904,0.3070552370201037,0.025018485164762263,0.28203675185534144,0.3320737221848659,0.29402784923655084,0.019605190152482233,0.2744226590840686,0.3136330393890331
52,0.3347468197943903,0.007050095627601841,0.32769672416678847,0.34179691542199214,0.3782235854965766,0.0012202664010990017,0.3770033190954776,0.3794438518976756,0.3260531599916522,0.021721866356580112,0.30433129363507205,0.3477750263482323,0.3074178769608391,0.025458193540117295,0.2819596834207218,0.3328760705009564,0.2940679596632987,0.01954457130110694,0.27452338836219176,0.3136125309644056
53,0.3348246003981556,0.007178797770880029,0.32764580262727555,0.34200339816903563,0.3782235854965766,0.0012202664010990017,0.3770033190954776,0.3794438518976756,0.32611142940281324,0.02174634318627706,0.3043650862165362,0.3478577725890903,0.3074650684879533,0.02550090502161388,0.2819641634663394,0.3329659735095672,0.2940681382469975,0.019544657967220578,0.2745234802797769,0.3136127962142181
54,0.33904102737465563,0.007294201877931051,0.3317468254967246,0.3463352292525867,0.37822592116031545,0.0012202664010990017,0.37700565475921644,0.37944618756141446,0.32623987822921074,0.021956524728512932,0.3042833535006978,0.3481964029577237,0.3074672786463084,0.025501795002283653,0.28196548364402474,0.3329690736485921,0.29408127254574756,0.01955049664678275,0.2745307758989648,0.31363176919253033
55,0.3522809031930328,0.007388522976355766,0.344892380216677,0.3596694261693886,0.3783058446254424,0.0012202664010990017,0.3770855782243434,0.37952611102654144,0.3263128817367479,0.022044092585093013,0.3042687891516549,0.3483569743218409,0.30757849045435004,0.025641222019707494,0.28193726843464256,0.3332197124740575,0.2940899416156032,0.019538115939763536,0.2745518256758397,0.3136280575553667
56,0.3523110937014429,0.00751970042296482,0.3447913932784781,0.35983079412440777,0.38482555920297173,0.0012202664010990017,0.3836052928018727,0.38604582560407075,0.32651977703347534,0.02203487991624898,0.30448489711722637,0.3485546569497243,0.30846575630037015,0.02672665631231668,0.28173909998805347,0.33519241261268684,0.29410674148779614,0.019543442927426158,0.27456329856037,0.3136501844152223
