eval_index,canonical_mean_hv,canonical_std_hv,canonical_lower,canonical_upper,display_mean_hv,display_std_hv,pareto_mean_size,pareto_std_size
42,1.8630655564988725,0.004839476274826673,1.8582260802240458,1.8679050327736992,4.657663891247181,0.012098690687066673,21.6,1.7435595774162693
43,1.8635402005400743,0.0046802525120605044,1.8588599480280137,1.868220453052135,4.658850501350186,0.011700631280151223,21.4,1.854723699099141
44,1.8652782174540778,0.0032983514386092133,1.8619798660154687,1.868576568892687,4.6631955436351955,0.008245878596523131,21.4,1.854723699099141
45,1.8654937185634346,0.0033953529017230755,1.8620983656617116,1.8688890714651576,4.663734296408586,0.008488382254307895,21.8,1.8330302779823362
46,1.866281036876528,0.0027455719133209285,1.863535464963207,1.8690266087898488,4.665702592191319,0.006863929783302453,22.0,1.7888543819998317
47,1.8664645555196486,0.0025598113317274675,1.863904744187921,1.8690243668513762,4.666161388799121,0.00639952832931884,22.0,2.1908902300206643
48,1.8667971366337859,0.002372100937160106,1.8644250356966259,1.8691692375709459,4.666992841584465,0.0059302523429004194,22.4,2.154065922853802
49,1.8670008614108895,0.002173284601088732,1.8648275768098008,1.8691741460119782,4.667502153527224,0.005433211502721825,23.0,2.0976176963403033
50,1.8670349939219322,0.0021392257670262175,1.8648957681549059,1.8691742196889585,4.667587484804831,0.005348064417565543,23.4,1.7435595774162693
51,1.867034999621891,0.002139225976483595,1.8648957736454073,1.8691742255983745,4.6675874990547275,0.005348064941208989,23.6,1.624807680927192
52,1.8672375887186454,0.00224492585004084,1.8649926628686047,1.8694825145686862,4.668093971796614,0.005612314625101874,24.2,1.9390719429665317
53,1.8678156621011681,0.002243326467299337,1.8655723356338687,1.8700589885684675,4.66953915525292,0.0056083161682484025,24.8,1.9390719429665317
54,1.8682972813502778,0.0023923592604570662,1.8659049220898207,1.870689640610735,4.670743203375695,0.005980898151142631,25.4,2.3323807579381204
55,1.8683961947168382,0.002429862311777714,1.8659663324050604,1.870826057028616,4.670990486792095,0.006074655779444189,26.0,2.280350850198276
56,1.8684172232658676,0.0024423480464339457,1.8659748752194336,1.8708595713123015,4.671043058164669,0.0061058701160848165,26.8,2.039607805437114
