eval_index,parego_mean_hv,parego_raw_std_hv,parego_plot_band,parego_lower,parego_upper,llmbo_mo_mean_hv,llmbo_mo_raw_std_hv,llmbo_mo_plot_band,llmbo_mo_lower,llmbo_mo_upper
20,1.3749238444476624,0.17328274329820056,0.17328274329820056,1.2016411011494619,1.5482065877458628,1.6454269807339024,0.21719211307779848,0.21719211307779848,1.4282348676561039,1.8626190938117009
21,1.3766015860237857,0.17480458349408903,0.17480458349408903,1.2017970025296967,1.5514061695178747,1.647976241108168,0.2175787833970714,0.2175787833970714,1.4303974577110965,1.8655550245052395
22,1.3773534069056703,0.17511736278553644,0.17511736278553644,1.2022360441201339,1.5524707696912068,1.6490197146514103,0.21812296238373524,0.21812296238373524,1.430896752267675,1.8671426770351456
23,1.4149816817983611,0.18825900123009687,0.18825900123009687,1.2267226805682643,1.603240683028458,1.7590884413249754,0.17802447081387532,0.17802447081387532,1.5810639705111,1.9371129121388508
24,1.4157279864238004,0.18834179785227434,0.18834179785227434,1.227386188571526,1.6040697842760747,1.7595697598775104,0.17826532009069157,0.17826532009069157,1.5813044397868188,1.937835079968202
25,1.4171056804270408,0.1892457503699038,0.1892457503699038,1.227859930057137,1.6063514307969446,1.759898557359137,0.17808903625460118,0.17808903625460118,1.5818095211045358,1.9379875936137383
26,1.4187501653916217,0.19049330294117717,0.19049330294117717,1.2282568624504444,1.609243468332799,1.7604750023818916,0.1781732954517094,0.1781732954517094,1.5823017069301821,1.938648297833601
27,1.4196871153534434,0.190778370511126,0.190778370511126,1.2289087448423173,1.6104654858645695,1.7923072444062265,0.11603130554012893,0.11603130554012893,1.6762759388660975,1.9083385499463554
28,1.4212859406080773,0.19189800354807784,0.19189800354807784,1.2293879370599994,1.6131839441561553,1.792318095416763,0.11603594155027296,0.11603594155027296,1.67628215386649,1.908354036967036
29,1.4438205951184262,0.1803753854474436,0.1803753854474436,1.2634452096709825,1.62419598056587,1.8527592648133662,0.009646010943476611,0.009646010943476611,1.8431132538698896,1.8624052757568428
30,1.4442721597549206,0.1802740799438851,0.1802740799438851,1.2639980798110355,1.6245462396988057,1.8529409106754362,0.009432447077352536,0.009432447077352536,1.8435084635980836,1.8623733577527888
